ITEM,NAME,DATA
44,- ձեռքբերում,2016
71,2.4. Արտաբյուջետային հաշվի ելքերի ֆինանսավորմանն ուղղվող հաշվի տարեսկզբի միջոցներ,2016
72,2.5. Արտաբյուջետային հաշվից համապատասխան բյուջե փոխանցվող միջոցներ,2016
74,2.7. Արտաբյուջետային հաշվի ժամանակավորապես ազատ միջոցներ,2016
82,2.5. Արտաբյուջետային հաշվից համապատասխան բյուջե փոխանցվող միջոցներ,2016
84,2.7. Արտաբյուջետային հաշվի ժամանակավորապես ազատ միջոցներ,2016
4111,- Աշխատողների աշխատավարձեր եւ հավելավճարներ,2016
4112,"- Պարգեւատրումներ, դրամական խրախուսումներ եւ հատուկ վճարներ
",2016
4113,"- Քաղաքացիական, դատական եւ պետական այլ ծառայողների պարգեւատրում
",2016
4114,"- ՀՀ  ֆինանսների եւ էկոնոմիկայի նախարարության, հարկային եւ մաքսային մարմինների աշխատողների պարգեւատրում` օրենքի համաձայն
",2016
4115,- Այլ վարձատրություններ,2016
4121,"- Բնեղեն աշխատավարձեր եւ հավելավճարներ
",2016
4131,Փաստացի սոցիալական ապահովության վճարներ (գործատուի կողմից),2016
4211,"- Գործառնական եւ բանկային ծառայությունների ծախսեր
",2016
4212,"- Էներգետիկ ծառայություններ
",2016
4213,"- Կոմունալ ծառայություններ
",2016
4214,"- Կապի ծառայություններ
",2016
4215,"- Ապահովագրական ծախսեր
",2016
4216,"- Գույքի եւ սարքավորումների վարձակալություն
",2016
4217,"- Արտագերատեսչական ծախսեր
",2016
4221,Գործուղումների եւ շրջագայությունների ծախսեր,2016
4222,Գործուղումների եւ շրջագայությունների ծախսեր,2016
4229,Գործուղումների եւ շրջագայությունների ծախսեր,2016
4231,"- Վարչական ծառայություններ
",2016
4232,"- Համակարգչային ծառայություններ
",2016
4233,"- Աշխատակազմի մասնագիտական զարգացման ծառայություններ
",2016
4234,"- Տեղեկատվական ծառայություններ
",2016
4235,"- Կառավարչական ծառայություններ
",2016
4236,"- Կենցաղային եւ հանրային սննդի ծառայություններ
",2016
4237,"- Ներկայացուցչական ծախսեր
",2016
4239,"- Ընդհանուր բնույթի այլ ծառայություններ
",2016
4241,"- Մասնագիտական ծառայություններ
",2016
4251,"- Շենքերի եւ կառույցների ընթացիկ նորոգում եւ պահպանում
",2016
4252,"- Մեքենաների եւ սարքավորումների ընթացիկ նորոգում եւ պահպանում
",2016
4261,"- Գրասենյակային նյութեր եւ հագուստ
",2016
4262,"- Գյուղատնտեսական ապրանքներ
",2016
4263,"- Վերապատրաստման եւ ուսուցման նյութեր (աշխատողների զարգացման)
",2016
4264,"- Տրանսպորտային նյութեր
",2016
4265,"- Շրջակա միջավայրի պաշտպանության եւ գիտական նյութեր
",2016
4266,- Առողջապահական եւ լաբորատոր նյութեր,2016
4267,"- Կենցաղային եւ հանրային սննդի նյութեր
",2016
4269,"- Հատուկ նպատակային այլ նյութեր
",2016
4411,"- Ներքին արժեթղթերի տոկոսավճարներ
",2016
4412,"- Ներքին վարկերի տոկոսավճարներ
",2016
4421,"- Արտաքին արժեթղթերի գծով տոկոսավճարներ
",2016
4422,"- Արտաքին վարկերի գծով տոկոսավճարներ
",2016
4431,"- Փոխանակման կուրսերի բացասական տարբերություն
",2016
4432,"- Տույժեր
",2016
4433,"- Փոխառությունների գծով տուրքեր
",2016
4511,"- Սուբսիդիաներ ոչ ֆինանսական պետական կազմակերպություններին
",2016
4512,"- Սուբսիդիաներ  ֆինանսական պետական կազմակերպություններին
",2016
4521,"- Սուբսիդիաներ ոչ  պետական ոչ ֆինանսական կազմակերպություններին
",2016
4522,"- Սուբսիդիաներ ոչ պետական ֆինանսական կազմակերպություններին
",2016
4611,- Ընթացիկ դրամաշնորհներ օտարերկրյա կառավարություններին,2016
4612,- Կապիտալ դրամաշնորհներ օտարերկրյա  կառավարություններին,2016
4621,- Ընթացիկ դրամաշնորհներ միջազգային կազմակերպություններին,2016
4622,- Կապիտալ դրամաշնորհներ միջազգային  կազմակերպություններին,2016
4631,- Ընթացիկ դրամաշնորհներ պետական կառավարման հատվածին,2016
4632,- Ընթացիկ սուբվենցիաներ համայնքներին,2016
4633,- Պետական բյուջեից համայնքների բյուջեներին ֆինանսական  համահարթեցման սկզբունքով տրվող դոտացիաներ,2016
4634,"- Օրենքների կիրարկման արդյունքում համայնքների բյուջեների կորուստների փոխհատուցում
",2016
4635,- Այլ ընթացիկ դրամաշնորհներ համայնքներին,2016
4636,"- Ընթացիկ դրամաշնորհներ Սոցիալական ապահովագրության պետական հիմնադրամին
",2016
4637,- Ընթացիկ դրամաշնորհներ պետական ոչ առեւտրային կազմակերպություններին,2016
4638,- Ընթացիկ դրամաշնորհներ պետական առեւտրային կազմակերպություններին,2016
4639,- Այլ ընթացիկ դրամաշնորհներ,2016
4651,"- Կապիտալ դրամաշնորհներ պետական կառավարման հատվածին
",2016
4652,"- Կապիտալ սուբվենցիաներ համայնքներին
",2016
4653,"- Այլ կապիտալ դրամաշնորհներ համայնքներին
",2016
4654,"- Կապիտալ դրամաշնորհներ  Սոցիալական ապահովագրության պետական հիմնադրամին
",2016
4655,"- Կապիտալ դրամաշնորհներ պետական ոչ առեւտրային կազմակերպություններին
",2016
4656,"- Կապիտալ դրամաշնորհներ պետական  առեւտրային կազմակերպություններին
",2016
4657,"- Այլ կապիտալ դրամաշնորհներ
",2016
4711,"- Տնային տնտեսություններին դրամով վճարվող սոցիալական ապահովագրության վճարներ
",2016
4712,"- Սոցիալական ապահովության բնեղեն նպաստներ ծառայություններ մատուցողներին
",2016
4721,- Հիվանդության եւ հաշմանդամության նպաստներ բյուջեից,2016
4722,- Մայրության նպաստներ բյուջեից,2016
4723,- Երեխաների կամ ընտանեկան նպաստներ բյուջեից,2016
4724,- Գործազրկության նպաստներ բյուջեից,2016
4725,- Կենսաթոշակի անցնելու հետ կապված  եւ տարիքային նպաստներ բյուջեից,2016
4726,- Հուղարկավորության նպաստներ բյուջեից,2016
4727,"- Կրթական, մշակութային եւ սպորտային նպաստներ բյուջեից",2016
4728,"- Բնակարանային նպաստներ բյուջեից
",2016
4729,- Այլ նպաստներ բյուջեից,2016
4741,- Կենսաթոշակներ,2016
4751,Բժշկական ապահովագրություն,2016
4752,Հիփոթեքային վարկի ամսական վճարի մարում,2016
4753,Ուսման վճարների փոխհատուցում,2016
4754,Հանգստի ծախսերի փոխհատուցում,2016
4811,"- Տնային տնտեսություններին ծառայություններ մատուցող` շահույթ չհետապնդող կազմակերպություններին նվիրատվություններ
",2016
4819,"- Նվիրատվություններ այլ շահույթ չհետապնդող կազմակերպություններին
",2016
4821,"Հարկեր, պարտադիր վճարներ եւ տույժեր, որոնք կառավարման տարբեր մակարդակների կողմից կիրառվում են միմյանց նկատմամբ",2016
4822,"Հարկեր, պարտադիր վճարներ եւ տույժեր, որոնք կառավարման տարբեր մակարդակների կողմից կիրառվում են միմյանց նկատմամբ",2016
4823,"Հարկեր, պարտադիր վճարներ եւ տույժեր, որոնք կառավարման տարբեր մակարդակների կողմից կիրառվում են միմյանց նկատմամբ",2016
4824,"Հարկեր, պարտադիր վճարներ եւ տույժեր, որոնք կառավարման տարբեր մակարդակների կողմից կիրառվում են միմյանց նկատմամբ",2016
4831,"- Դատարանների կողմից նշանակված տույժեր եւ տուգանքներ
",2016
4841,"- Բնական աղետներից առաջացած վնասվածքների կամ վնասների վերականգնում
",2016
4842,"- Այլ բնական պատճառներով ստացած վնասվածքների վերականգնում
",2016
4851,"- Կառավարման մարմինների գործունեության հետեւանքով առաջացած վնասվածքների կամ վնասների վերականգնում
",2016
4861,"- Այլ ծախսեր
",2016
4891," - Պահուստային միջոցներ
",2016
5111,- Շենքերի եւ շինությունների ձեռքբերում,2016
5112,- Շենքերի եւ շինությունների շինարարություն,2016
5113,- Շենքերի եւ շինությունների կապիտալ վերանորոգում,2016
5121,- Տրանսպորտային սարքավորումներ,2016
5122,- Վարչական սարքավորումներ,2016
5129,- Այլ մեքենաներ եւ սարքավորումներ,2016
5131,- Աճեցվող ակտիվներ,2016
5132,- Ոչ նյութական հիմնական միջոցներ,2016
5133,- Գեոդեզիական-քարտեզագրական ծախսեր,2016
5134,- Նախագծահետազոտական ծախսեր,2016
5211,"- Ռազմավարական պաշարներ
",2016
5221,"- Նյութեր եւ պարագաներ
",2016
5231,"- Վերավաճառքի համար նախատեսված ապրանքներ
",2016
5241,"- Սպառման նպատակով պահվող պաշարներ
",2016
5311,"- Բարձրարժեք  ակտիվներ
",2016
5411," - Հող
",2016
5421,"- Ընդերքային ակտիվներ
",2016
5431,"- Այլ բնական ծագում ունեցող ակտիվներ
",2016
5441,"- Ոչ նյութական ոչ արտադրական ակտիվներ
",2016
5999,"- Հաշվանցումներ` ոչ ֆինանսական ակտիվների գծով ծախսեր
",2016
6111,Ներքին արժեթղթերի (բացառությամբ բաժնետոմսերից) հիմնական գումարի մարում,2016
6112,Վարկերի եվ փոխառությունների հիմնական գումարի մարում,2016
6113,ստացված փոխատվությունների գումարի մարում,2016
6119,Ներքին պետական պարտքի ճշգրտում,2016
6121,Արտաքին արժեթղթերի (բացի բաժնետոմսերից) հիմնական գումարի մարում,2016
6122,Արտաքին վարկերի հիմնական գումարի մարում,2016
6123,Արտաքին աղբյուրներից ստացված փոխատվության գումարի մարում,2016
6129,Արտաքին պետական պարտքի ճշգրտում,2016
6211,Ներքին արժեթղթերի ձեռքբերում` բացի բաժնետոմսերից,2016
6212,Ներքին վարկեր եվ փոխատվություններ,2016
6213,Ներքին բաժնետոմսերի եվ այլ մասնաբաժինների ձեռքբերում,2016
6221,Արտաքին արժեթղթերի ձեռքբերում(բացի բաժնետոմսերից),2016
6222,Վարկեր այլ պետությունների կառավարություններին եվ կազմակերպություններին,2016
6223,Արտաքին բաժնետոմսերի եվ այլ կապիտալի ձեռքբերում,2016
6501,"Ոչ ֆինանսական ակտիվների օտարումից մուտքերի ստացում
",2016
6502,"Հողի օտարումից  միջոցների ստացում
",2016
6999,Հաշվանցումներ` հիմնական գումարի մարումների եվ ֆինանսական ակտիվների ձեռք բերման գծով ծախսեր,2016
7777,Բանկերից վերադարձված գումարներ,2016
9999,ԾԻԳ-ի մնացորդի վերադարձ,2016
