CONTID,CONTRACT,FILENAME,FILENAMEBC
4,332271001,39012127-Scan1.PDF;39012127-Scan2.PDF;39012127-Scan3.PDF;39012127-Scan4.PDF;39201755-scan5.pdf,40674841-Untitled.pdf;40573707-06.2017-1.pdf;41133996-Scan.pdf;40674841-Untitled1.pdf;40718390-Untitled1.pdf;41856649-Scan.pdf;40950457-Scan.pdf;40718390-Untitled.pdf;40573707-06.2017.pdf;40950457-Scan.pdf1.pdf;41404333-Scan.pdf1.pdf;41126394-Scan.pdf1.pdf
4,332272001,39012098-Scan1.PDF,41419981-Scan.pdf1.pdf;40494832-06.2017   138904.pdf;41742977-Scan.pdf;40911559-Scan.pdf1.pdf;40704010-Untitled.pdf;40704010-Untitled1.pdf;41157472-Scan.pdf1.pdf
5,332270001,39152145-scan2.pdf;39275750-Untitled.pdf;39012151-Scan1.PDF,40494854-06.2017.pdf;40674936-Untitled1.pdf;41856891-Scan.pdf;41402239-Scan.pdf1.pdf;41159795-Scan.pdf1.pdf;41073014-Scan.pdf1.pdf
5,357320001,39152580-scan.pdf;39152580-scan1.pdf,41745375-Scan.pdf;40462099-II eramsjak.pdf;41157555-Scan.pdf1.pdf
6,336745001,39037288-Scan.PDF,40736984-Untitled1.pdf;40737100-Untitled2.pdf;41419176-Scan.pdf1.pdf;41862749-Scan.pdf;40765020-Untitled2.pdf;40765020-Untitled3.pdf;40914602-Scan.pdf1.pdf;40451764-05.2017.pdf;41646782-Scan.pdf;40451764-05.2017-1.pdf;41161839-Scan.pdf1.pdf
6,344323001,39037185-Scan10001.PDF;41170082-Scan.pdf,40670524-Untitled.pdf;41420347-Scan.pdf1.pdf;41251854-Scan.pdf1.pdf;40670524-Untitled1.pdf;41648232-Scan.pdf;40907518-Scan.pdf1.pdf
6,344324001,39037243-Scan1.PDF,40677577-Untitled.pdf;40677577-Untitled1.pdf
6,344325001,39661605-Scan3.pdf;39037027-Scan1.PDF;39037027-Scan2.PDF;41170009-Scan.pdf,40670687-Untitled.pdf;41420554-Scan.pdf1.pdf;41252389-Scan.pdf1.pdf;40670687-Untitled1.pdf;41647974-Scan.pdf;40908421-Scan.pdf1.pdf;40958656-Scan.pdf1.pdf
6,344929001,39241654-Untitled.pdf;39241654-Untitled1.pdf,40899507-Scan.pdf1.pdf;41419687-Scan.pdf1.pdf;41771661-Scan.pdf;41168864-Scan.pdf1.pdf;40668452-Untitled1.pdf;40451802-05.2017.pdf;41662032-Scan.pdf;40711324-Untitled3.pdf;40702440-Untitled1.pdf
6,357308001,39515234-Scan3.pdf;39037324-Scan1.PDF;39037324-Scan2.PDF,40635334-Untitled1.pdf;41419823-Scan.pdf1.pdf;40711180-Untitled1.pdf;40765258-Untitled.pdf;41661583-Scan.pdf;40911885-Scan.pdf1.pdf;40765258-Untitled1.pdf;41160844-Scan.pdf1.pdf
6,364970001,40037254-Scan1.PDF,40503116-II eramsjak.pdf;41684502-Scan.pdf;41634355-Scan.pdf
7,344628001,39214339-scan.pdf,40609068-Untitled1.pdf;40609068-Untitled.pdf
10,364643001,39971202-Untitled.pdf,
10,364969001,39988086-Untitled.pdf,
10,365686001,39993648-Untitled.pdf;39993648-Untitled2.pdf,
10,371010001,39364008-Untitled.pdf,40488022-Untitled.pdf
11,344038001,39207872-Untitled.pdf,
11,359171001,39259691-Untitled.pdf,40494673-Untitled.pdf;41886070-Scan.pdf;41158541-Scan.pdf1.pdf
11,391012001,41678597-Scan.pdf,41804745-Scan.pdf
11,391470001,41678443-Scan.pdf,
11,392999001,41844078-Scan.pdf,41896409-Scan.pdf
12,383631001,41241466-Scan.pdf,41333592-Scan.pdf1.pdf
14,386846001,41759845-Scan.pdf;41792571-Scan.pdf;41406439-Scan.pdf;41448614-Scan.pdf1.pdf,41542546-Scan.pdf
15,385345001,41406620-Scan.pdf,41424350-Scan.pdf1.pdf
15,390583001,40625181-Untitled.pdf,41783007-Scan.pdf
17,350877001,39240704-Untitled.pdf;41221602-Scan.pdf1.pdf,40792973-Untitled2.pdf;41585217-Scan.pdf;41180773-Scan.pdf46.pdf;40990051-Scan.pdf8.0.pdf;40990146-Scan.pdf36.6.pdf;40991073-Scan.pdf81.0.pdf;41167956-Scan.pdf  6.pdf;41168343-Scan.pdf46.pdf;41168436-Scan.pdf66..pdf;41168586-Scan.pdf410.4.pdf;41180113-Scan.pdf38.pdf;41180865-Scan.pdf63.2.pdf;40989013-Scan.pdf  12..pdf;41182127-Scan.pdf107.4.pdf;41182427-Scan.pdf122.6.pdf;41182477-Scan.pdf155.4.pdf;40990310-Scan.pdf38.2.pdf;40990362-Scan.pdf39.0.pdf;40990472-Scan.pdf46...pdf;40990664-Scan.pdf46.0.pdf;40976904-Scan.pdf 35.0.pdf;40792989-Untitled3.pdf;40793018-Untitled4.pdf;41180054-Scan.pdf30.pdf;41180338-Scan.pdf40.pdf;41180898-Scan.pdf106.4.pdf;40990102-Scan.pdf25.2.pdf;40991148-Scan.pdf88.0.pdf;41168370-Scan.pdf54.pdf;41168534-Scan.pdf409.4.pdf;40976861-Scan.pdf 10..pdf;40977036-Scan.pdf 81.0.pdf;40793055-Untitled6.pdf;40793081-Untitled7.pdf;40793097-Untitled8.pdf;40744232-Untitled1.pdf;41811191-Scan.pdf;41168467-Scan.pdf66.pdf;40976953-Scan.pdf 47.0.pdf;41179916-Scan.pdf 15.pdf;41179944-Scan.pdf15.9.pdf;41179974-Scan.pdf18.pdf;40989816-Scan.pdf  38.0.pdf;41445910-Scan.pdf;40990242-Scan.pdf38.0.pdf;40991220-Scan.pdf132.0.pdf;41168694-Scan.pdf538.8.pdf;40977082-Scan.pdf 100.0.pdf;40774345-Untitled1.pdf;41179870-Scan.pdf 5.8.pdf;41182454-Scan.pdf128.2.pdf;41182553-Scan.pdf164.pdf;41182606-Scan.pdf215.6.pdf;41168141-Scan.pdf  12.pdf;40975508-Scan.pdf 5.8.pdf;40791643-Untitled1.pdf;40793041-Untitled5.pdf;40752854-Untitled1.pdf;41522426-Scan.pdf;41180079-Scan.pdf36.8.pdf;40989516-Scan.pdf  12.0.pdf;41168207-Scan.pdf 12.pdf;41168254-Scan.pdf12.pdf;41168412-Scan.pdf63.8.pdf;40977001-Scan.pdf 48.6.pdf;41180005-Scan.pdf19.6.pdf;41180517-Scan.pdf41.2.pdf;40989881-Scan.pdf6.0.pdf;40990182-Scan.pdf38..pdf;40990417-Scan.pdf41.0.pdf;40991184-Scan.pdf132...pdf;41168279-Scan.pdf18.pdf;41168312-Scan.pdf38.6.pdf;41168492-Scan.pdf356.8.pdf;40976546-Scan.pdf 8.0.pdf;40976787-Scan.pdf 8.00.pdf
17,374700001,40621623-Untitled.pdf,40805064-Untitled1.pdf
17,386782001,39213360-Untitled.pdf;39213360-2015.PDF;39213360-2013.pdf,41536693-Scan.pdf
17,388548001,39706325-scan1.pdf;39706325-scan2.pdf;39706325-scan3.pdf,41689097-Scan.pdf;41805843-Scan.pdf
18,349451001,39240737-Untitled.pdf,40494229-Untitled.pdf;41633872-Scan.pdf;41103260-Scan.pdf1.pdf
18,355979001,39521596-Untitled.pdf,
18,359057001,39582255-Untitled.pdf,40493243-Untitled.pdf
18,359058001,39572604-Untitled.pdf,
18,359059001,39673070-Untitled1.pdf;39584233-Untitled.pdf,40494894-Untitled.pdf
18,359060001,39578618-Untitled.pdf,41074596-Scan.pdf1.pdf
