CONTID,CONTRACT,FILENAME,FILENAMEBC
5,458232001,https://armeps.am/ppcm/public/contracts/download-attachment?id=1e09cc55-e3a6-4db6-98e5-7083dc96d175;https://armeps.am/ppcm/public/contracts/download-attachment?id=c547742d-bc39-4ece-93dc-3485b4dcb10d;https://armeps.am/ppcm/public/contracts/download-attachment?id=c2af5510-cd59-4962-af7f-ea02176d7bdf;https://armeps.am/ppcm/public/contracts/download-attachment?id=b1c9c903-b66b-4282-9069-be94be3f04ca;https://armeps.am/ppcm/public/contracts/download-attachment?id=e3d8b62b-bc9b-45e8-91d3-41950b859651,53221524-Scan.pdf;52273760-scan.pdf;51173666-Scan.pdf;53221524-Sca.pdf
5,459659001,https://armeps.am/ppcm/public/contracts/download-attachment?id=962acb79-041c-49d1-9049-ba3377ce3cd0,53221470-Scan.pdf;51174608-Sca.pdf;52136479-scan.pdf;51174608-Scan.pdf
6,459598001,https://armeps.am/ppcm/public/contracts/download-attachment?id=d0b5db8a-fcfb-4c42-a696-34634c416db2,51174451-Scan.pdf
6,522473001,https://armeps.am/ppcm/public/contracts/download-attachment?id=40aa7b50-021e-49b2-ae68-1241d5c78f82;https://armeps.am/ppcm/public/contracts/download-attachment?id=9fec6901-1ac8-4878-a999-a635fb0969e2;https://armeps.am/ppcm/public/contracts/download-attachment?id=33b726d1-1497-425b-946f-c19c3a1b6541,52756301-Scan.pdf;53827862-Scan.pdf;51008722-Scan.pdf;52050865-scan.pdf
6,536032001,https://armeps.am/ppcm/public/contracts/download-attachment?id=6a2e7748-0469-409a-9947-7d72d3e5aada,53221904-Scan.pdf
6,552218001,https://armeps.am/ppcm/public/contracts/download-attachment?id=73bb10c1-b983-4046-970c-41b049afc6ba,
7,458231001,https://armeps.am/ppcm/public/contracts/download-attachment?id=bd15349e-61a6-4a04-bc1f-1ce5dd19f0c6,51243835-scan.pdf;53130904-scan.pdf;52062814-scan.pdf;53130825-Scan.pdf
7,459592001,https://armeps.am/ppcm/public/contracts/download-attachment?id=35f6a170-71ad-47ab-9621-cc59acd4dce4,51263193-scan.pdf;53576480-Scan.pdf;52218159-scan.pdf
7,459593001,https://armeps.am/ppcm/public/contracts/download-attachment?id=16766f95-d92a-4f60-ad2a-751b07e2ed01;https://armeps.am/ppcm/public/contracts/download-attachment?id=ad09324b-4eb9-415b-846b-829ebee41c1c;https://armeps.am/ppcm/public/contracts/download-attachment?id=2a683e67-7aa8-4a08-97d1-718f0a77a6fa,51246143-scan.pdf;53325893-Scan.pdf;52217978-scan.pdf
7,460955001,https://armeps.am/ppcm/public/contracts/download-attachment?id=c506a269-8898-4bcd-be83-e60a723ecba7,53564472-Scan.pdf;52292122-scan.pdf;51019368-Scan.pdf;51371671-scan.pdf
7,487942001,https://armeps.am/ppcm/public/contracts/download-attachment?id=16d332b5-1783-4dfb-b7cf-3219688de878;https://armeps.am/ppcm/public/contracts/download-attachment?id=e33d7445-9f08-4f62-b0b4-9feaa395511e,53210991-Scan.pdf;52761560-Scan.pdf
7,514428001,https://armeps.am/ppcm/public/contracts/download-attachment?id=5b07770a-7d62-407a-8b76-954d7b8f82ce;https://armeps.am/ppcm/public/contracts/download-attachment?id=86bd3fd5-6a89-4c52-a1e3-f4b333a0f846,53012244-Scan.pdf;51175090-Scan.pdf
7,528607001,https://armeps.am/ppcm/public/contracts/download-attachment?id=0e3c835b-320e-4004-9c66-50b2c35dbcda,51264680-scan.pdf;51008003-Scan.pdf;52460912-scan.pdf;53936860-Scan.pdf
8,515354001,https://armeps.am/ppcm/public/contracts/download-attachment?id=711dd753-b52f-4bb2-9d56-9372313e902d;https://armeps.am/ppcm/public/contracts/download-attachment?id=f51c1c06-96ab-47b9-82e0-c18250cdf5ba;https://armeps.am/ppcm/public/contracts/download-attachment?id=afdce9ac-470c-42e7-b8d2-9ccd751d7fdb,
8,515357001,https://armeps.am/ppcm/public/contracts/download-attachment?id=bb47238d-2a73-4155-8543-b37ec428eb1b;https://armeps.am/ppcm/public/contracts/download-attachment?id=56b8817f-5ede-4e4c-b5d1-deebe6862c9c,
12,533033001,https://armeps.am/ppcm/public/contracts/download-attachment?id=8fe638ba-eb26-4ff0-ba04-b70c340fdd09;https://armeps.am/ppcm/public/contracts/download-attachment?id=70d85eb0-59f2-4003-ac29-f606e6922157,
12,541748001,https://armeps.am/ppcm/public/contracts/download-attachment?id=8683ee21-295f-4678-a882-c42bba90875e,51019595-Scan.pdf
12,541749001,https://armeps.am/ppcm/public/contracts/download-attachment?id=12eaf90d-ab65-4de2-a3ac-55611963d4de,52926684-Scan.pdf;52296832-scan.pdf
12,571615001,https://armeps.am/ppcm/public/contracts/download-attachment?id=e60878ed-bccd-461a-b482-df693dd53f46;https://armeps.am/ppcm/public/contracts/download-attachment?id=4d758204-680a-422f-80c0-f35c9e3da62a,53000353-Scan.pdf;52132976-scan.pdf
12,573049001,https://armeps.am/ppcm/public/contracts/download-attachment?id=8683ee21-295f-4678-a882-c42bba90875e,52961375-Scan.pdf;53332302-Scan.pdf;52246601-scan.pdf
13,520577001,https://armeps.am/ppcm/public/contracts/download-attachment?id=7d31b286-cc3b-4ff5-84b0-64264e12a1c7;https://armeps.am/ppcm/public/contracts/download-attachment?id=0a8775d0-6a3a-4be9-b621-911ad563d8af;https://armeps.am/ppcm/public/contracts/download-attachment?id=e829f3b3-0e92-4e63-85b6-520cdb7cfbe4,53935631-Scan.pdf;51063875-Scan.pdf
13,525574001,https://armeps.am/ppcm/public/contracts/download-attachment?id=1ea553a1-843a-4e1b-8dc5-741debe8d565,
13,564063001,https://armeps.am/ppcm/public/contracts/download-attachment?id=f2ebb475-b823-4b0e-916a-d1af1a93f55b;https://armeps.am/ppcm/public/contracts/download-attachment?id=790b2563-b21b-4e4b-869b-99ba10143aeb,51293301-scan.pdf;53011997-Scan.pdf
13,578734001,https://armeps.am/ppcm/public/contracts/download-attachment?id=fd9bf02c-df93-4e02-abb4-0467bfb97119,52961432-Scan.pdf
13,584572001,https://armeps.am/ppcm/public/contracts/download-attachment?id=3e522eca-5e93-44e8-8560-ed70dd3a9933,53486889-Scan.pdf
