GROWP,SUBGROUP,CLASS,PROGRAM,NAME,DATA
1,0,0,0,ԸՆԴՀԱՆՈՒՐ ԲՆՈՒՅԹԻ ՀԱՆՐԱՅԻՆ ԾԱՌԱՅՈՒԹՅՈՒՆՆԵՐ,2019
1,1,0,0,"Օրենսդիր եւ գործադիր  մարմիններ, պետական կառավարում, ֆինանսական եւ հարկաբյուջետային հարաբերություններ, արտաքին հարաբերություններ",2019
1,1,1,0,"Օրենսդիր եւ  գործադիր մարմիններ, պետական կառավարում",2019
1,1,1,1,ՀՀ Ազգային ժողովի աշխատակազմի եւ պատգամավորների պահպանում,2019
1,1,1,2,ՀՀ Վերահսկիչ պալատի պահպանում,2019
1,1,1,3,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2019
1,1,1,4,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում արտաբյուջետային միջոցների հաշվին",2019
1,1,1,5,Հայաստանի Հանրապետության համայնքային բյուջեներին  սուբվենցիաների տրամադրում,2019
1,1,1,6,ՀՀ վերահսկիչ պալատի պահուստային ֆոնդ,2019
1,1,1,7,ՀՀ Ազգային ժողովի աշխատակազմի կարողությունների զարգացում,2019
1,1,1,8,ՀՀ Վերահսկիչ պալատի կարողությունների զարգացում,2019
1,1,1,9,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  կարողությունների զարգացում",2019
1,1,1,10,"Հայաստանի Հանրապետության կառավարության գործունեության գնահատականների, կյանքի որակի եւ համայնքային կարիքների գնահատման հետազոտություններ",2019
1,1,1,11,Նախարարության «Ծրագրերի իրականացման գրասենյակ» պետական հիմնարկի պահպանում,2019
1,1,1,12,ՀՀ կառավարության աշխատակազմի «Օրենսդրության կարգավորման ազգային կենտրոն» ծրագրերի իրականացման գրասենյակի պահպանում,2019
1,1,1,13,ՀՀ գյուղատնտեսության նախարարության սննդամթերքի անվտանգության պետական ծռայության նյութական խրախուսման եւ համակարգի զարգացման ֆոնդ,2019
1,1,1,14,ՀՀ տնտեսական զարգացման եւ ներդրումների նախարարության Շուկայի վերահսկողության տեսչական մարմնի պահպանում,2019
