MINID,NAME,DATA
101001,ՀՀ Նախագահի աշխատակազմ,2020
101002,ՀՀ Ազգային ժողով,2020
101003,ՀՀ վարչապետի  աշխատակազմ,2020
102001,ՀՀ սահմանադրական դատարան,2020
102002,ՀՀ դատական դեպարտամենտ,2020
102003,ՀՀվճռաբեկ դատարան,2020
102004,Վերաքննիչ քաղաքացիական դատարան,2020
102005,Վերաքննիչ քրեական դատարան,2020
102006,Էրեբունի եւ Նուբարաշեն համայնքների ընդհանուր իրավասության դատարան,2020
102007,Կենտրոն եւ Նորք-Մարաշ համայնքների ընդհանուր իրավասության դատարան,2020
102008,Աջափնյակի եւ Դավթաշեն համայնքների ընդհանուր իրավասության դատարան,2020
102009,Ավան եւ Նոր Նորք համայնքների ընդհանուր իրավասության դատարան,2020
102010,Արաբկիր եւ Քանաքեռ-Զեյթուն համայնքների ընդհանուր իրավասության դատարան,2020
102011,Շենգավիթ համայնքի ընդհանուր իրավասության դատարան,2020
102012,Մալաթիա-Սեբաստիա համայնքի ընդհանուր իրավասության դատարան,2020
102013,Արագածոտնի մարզի ընդհանուր իրավասության դատարան,2020
102014,Արարատի եվ Վայոց Ձորի մարզերի ընդհանուր իրավասության դատարան,2020
102015,Արմավիրի մարզի ընդհանուր իրավասության դատարան,2020
102016,Գեղարքունիքի մարզի ընդհանուր իրավասության դատարան,2020
102017,Լոռու մարզի ընդհանուր իրավասության դատարան,2020
102018,Կոտայքի  մարզի ընդհանուր իրավասության դատարան,2020
102019,Շիրակի մարզի ընդհանուր իրավասության դատարան,2020
102020,Սյունիքի մարզի ընդհանուր իրավասության դատարան,2020
102021,Տավուշի մարզի ընդհանուր իրավասության դատարան,2020
102022,Վարչական դատարան,2020
102023,Երեվանի քաղաքացիական դատարան,2020
102024,Դատական դպրոց,2020
102025,Հյուսիսային քաղաքացիական դատարան,2020
102026,Հարավային քաղաքացիական դատարան,2020
102027,Երեվանի քրեական դատարան,2020
102028,Հյուսիսային քրեական դատարան,2020
102029,Հարավային քրեական դատարան,2020
102030,Բարձրագույն դատական խորհուրդ,2020
103001,ՀՀ դատախազություն,2020
103002,ՀՀ հատուկ քննչական ծառայություն,2020
104001,ՀՀ տարածքային կառավարման եւ ենթակառուցվածքների նախարարություն,2020
104002,ՀՀ առողջապահության նախարարություն,2020
104003,ՀՀ արդարադատության նախարարություն,2020
104004,ՀՀ էկոնոմիկայի նախարարություն,2020
104005,ՀՀ արտաքին գործերի նախարարություն,2020
104006,ՀՀ շրջակա միջավայրի նախարարություն,2020
104007,ՀՀ էկոնոմիկայի նախարարություն,2020
104008,ՀՀ,2020
104009,ՀՀ տարածքային կառավարման եւ ենթակառուցվածքների նախարարություն,2020
104010,"ՀՀ կրթության, գիտության, մշակույթի եւ սպորտի նախարարություն",2020
104011,"ՀՀ կրթության, գիտության, մշակույթի եւ սպորտի նախարարություն",2020
104013,ՀՀ պաշտպանության նախարարություն,2020
104016,ՀՀ աշխատանքի եւ սոցիալական հարցերի նախարարություն,2020
104018,ՀՀ բարձր տեխնոլոգիական արդյունաբերության նախարարություն,2020
104020,ՀՀ քաղաքաշինության նախարարություն,2020
104021,ՀՀ ֆինանսների նախարարություն,2020
104022,"ՀՀ կրթության, գիտության, մշակույթի եւ սպորտի նախարարություն",2020
104023,ՀՀ արտակարգ իրավիճակների նախարարություն,2020
104024,ՀՀ վարչապետի աշխատակազմ,2020
104025,ՀՀ ֆինանսների նախարարություն /բժշկական ապահովագրության մասով/,2020
104026,ՀՀ միջազգային տնտեսական ինտեգրման եւ բարեփոխումների նախարարություն,2020
105001,ՀՀ կենտրոնական բանկ,2020
105002,ՀՀ աշխատանքի եւ սոցիալական հարցերի նախարարության սոցիալական ապահովության ծառայություն,2020
105003,ՀՀ վիճակագրական կոմիտե,2020
105004,ՀՀ հանրային ծառայությունները կարգավորող հանձնաժողով,2020
105005,ՀՀ կենտրոնական ընտրական հանձնաժողով,2020
105006,ՀՀ արժեթղթերի հանձնաժողով,2020
105007,ՀՀ քաղաքացիական ծառայության խորհուրդ,2020
105008,ՀՀ տնտեսական մրցակցության պաշտպանության պետական հանձնաժողով,2020
