CONTID,CONTRACT,COMREF,CONTAMOUNT,PAYAMOUNT,PREAMOUNT,PAYPREAMOUNT,CONTBEGIN,CONTEND,BENCUST,DATA
5,739541001,012.08.13.00489,35477110.5,30290916.2,0,0.0,20130707,20211230,ԳԱԶՊՐՈՄ ԱՐՄԵՆԻԱ ՓԲԸ,20211220
5,739542001,0291220,52707882.0,52707881.6,0,0.0,20190429,20211230,ՀԱՅԱՍՏԱՆԻ ԷԼԵԿՏՐԱԿԱՆ ՑԱՆՑԵՐ ՓԲԸ,20211220
6,739540001,4-12-10,10163520.0,10163520.0,0,0.0,20170130,20211230,ՎԵՈԼԻԱ ՋՈՒՐ ՓԲԸ,20211220
6,747777001,ՀՀ ԱԺ ԳՀԾՁԲ-21/1,67497000.0,61872250.0,0,0.0,20201230,20211230,ՔԼԻՆԵՐՍ ՍՊԸ,20211220
6,794007001,ՀՀ ԱԺ ԳՀԾՁԲ-21/8,112000.0,84000.0,0,0.0,20210120,20211230,ԵՐՄԻՔ ՍՊԸ,20211220
7,727211001,10495648,3887114.0,3845272.0,0,0.0,20130305,20211230,ՄՏՍ ՀԱՅԱՍՏԱՆ ՓԲԸ,20211220
7,747778001,ԱԺ-ԲԸԱՀԾՁԲ-ՅՈՒՔՈՄ/2013,6897950.0,6330390.1,0,0.0,20131113,20211230,ՅՈՒՔՈՄ ՓԲԸ,20211220
7,757017001,ARM-C-158/15,311040.0,311040.0,0,0.0,20150525,20211230,ՏԵԼԵԿՈՄ ԱՐՄԵՆԻԱ ՓԲԸ,20211220
7,757018001,112759246,1500000.0,1474120.7,0,0.0,20130722,20211230,ՏԵԼԵԿՈՄ ԱՐՄԵՆԻԱ ՓԲԸ,20211220
7,774988001,ՀՀ ԱԺ ԳՀԾՁԲ-21/2.,500000.0,409090.4,0,0.0,20211230,20211230,Արփինետ ՍՊԸ,20211220
7,793711001,PD-146-02-21,282775.0,282775.0,0,0.0,20210219,20211230,ՀԱՅՓՈՍՏ ՓԲԸ,20211220
7,816776001,ՀՀ ԱԺ ԳՀԾՁԲ-21/12,783000.0,696000.0,0,0.0,20210322,20211231,ՋԻԷՆՍԻ-ԱԼՖԱ ՓԲԸ,20211220
8,799124001,ՀՀ ԱԺ ՄԱԾՁԲ-21/5,2232000.0,2232000.0,0,0.0,20210121,20211231,ՌՈՍԳՈՍՍՏՐԱԽ-ԱՐՄԵՆԻԱ ԱՓԲԸ,20211220
10,805138001,ՀՀ ԱԺ ԳՀԾՁԲ-21/5 ԳՍ,130000.0,120432.0,0,0.0,20210118,20211230,ԳԵՎՈՐԳ ՍԻՄՈՆՅԱՆ ԱՁ,20211220
10,834925001,ՀՀ ԱԺ ԳՀԾՁԲ-21/5 ԿՍ,70000.0,53200.0,0,0.0,20210118,20211230,Կրթարան Սոնա ՍՊԸ,20211220
11,765281001,ՀՀ ԱԺ ՄԱԾՁԲ-21/2,2016000.0,2016000.0,0,0.0,20201230,20211230,ՎԻ ԻՔՍ ՍՈՖԹ ՍՊԸ,20211220
11,772753001,ՀՀ ԱԺ ՄԱԾՁԲ-21/1,4429800.0,4060650.0,0,0.0,20201228,20211230,ՀԱՅԿԱԿԱՆ ԾՐԱԳՐԵՐ ՍՊԸ,20211220
12,784866001,ՀՀ ԱԺ ԳՀԱՊՁԲ-21/9,51676.0,51676.0,0,0.0,20210322,20211230,ԲՈՒԿԻՆԻՍՏ ՍՊԸ,20211220
12,786260001,ՀՀ ԱԺ ԳՀԱՊՁԲ-21/7,651200.0,358600.0,0,0.0,20210125,20211230,ԲԼԻՑ-ՄԵԴԻԱ ՍՊԸ,20211220
12,816843001,ՀՀ ԱԺ ԳՀԾՁԲ-21/14,600000.0,525000.0,0,0.0,20210322,20211230,ՋԻԷՆՍԻ-ԱԼՖԱ ՓԲԸ,20211220
13,797912001,ՀՀ ԱԺ ԳՀԾՁԲ-20/23,7680000.0,7680000.0,0,0.0,20201201,20211230,Բի-Դի-Օ Արմենիա ՓԲԸ,20211220
13,859124001,ՀՀ ԱԺ ԳՀԾՁԲ-21/17,2280000.0,2280000.0,0,0.0,20211006,20211230,Բի-Դի-Օ Արմենիա ՓԲԸ,20211220
14,816940001,ՀՀ ԱԺ ԳՀԾՁԲ-21/7ՍԳ,126000.0,83294.40000000001,0,0.0,20210119,20211230,Սիլվեռ Գլաս ՍՊԸ,20211220
14,819665001,ՀՀ ԱԺ ԳՀԾՁԲ-21/13,396998.4,90090.0,0,0.0,20210324,20211230,ԱԼԵՔՍԱՆԴՐ-Մ ՍՊԸ,20211220
17,784346001,ՀՀ ԱԺ ԳՀԾՁԲ-21/4,4320000.0,3240000.0,0,0.0,20201228,20211230,ՌՈՒՄՈՐՍ ՍՊԸ,20211220
17,812609001,ՀՀ ԱԺ ԳՀԾՁԲ-21/11,240000.0,240000.0,0,0.0,20210304,20211230,"ՏԵԽՆԻԿԱԿԱՆ ՓՈՐՁԱՔՆՆՈՒԹՅՈՒՆՆԵՐԻ ԿԵՆՏ
ՐՈՆ ՍՊԸ",20211220
18,773369001,ՀՀ ԱԺ ԳՀԱՇՁԲ-20/10,24077342.0,24077342.0,0,0.0,20201001,20211230,ՀԻՊԵՐՆՈՎԱ ՍՊԸ,20211220
18,813466001,ՀՀ ԱԺ ԳՀԾՁԲ-20/22,2700000.0,2700000.0,0,0.0,20201030,20211230,Ջի ԷՄ ԲԻ Գրուպ ՍՊԸ,20211220
