GRP,SUBGROUP,CLASS,PROGRAM,MINID,ITEM,PLAN,CHANGE,AMOUNT,CONTID,DATA
1,1,1,1,101002,4111,2845825000,350813800.0,3196638800.0,2,20221231
1,1,1,1,101002,4112,724166100,24500000.0,748666100.0,3,20221231
1,1,1,1,101002,4113,88926800,0.0,88926800.0,4,20221231
1,1,1,1,101002,4212,146882200,-58000000.0,85799140.3,5,20221231
1,1,1,1,101002,4213,89630000,-13000000.0,75135945.8,6,20221231
1,1,1,1,101002,4214,26200000,-11008900.0,12982904.5,7,20221231
1,1,1,1,101002,4215,2500000,0.0,2300000.0,8,20221231
1,1,1,1,101002,4221,648600000,-318000000.0,325217500.0,9,20221231
1,1,1,1,101002,4231,10500000,-4500000.0,1674875.0,10,20221231
1,1,1,1,101002,4232,31764000,-23000000.0,7245800.0,11,20221231
1,1,1,1,101002,4234,12683000,-8500000.0,1901250.0,12,20221231
1,1,1,1,101002,4235,3000000,0.0,2115000.0,13,20221231
1,1,1,1,101002,4236,2000000,-2000000.0,0.0,14,20221231
1,1,1,1,101002,4237,195000000,3500000.0,177612019.0,15,20221231
1,1,1,1,101002,4241,12200000,30326000.0,41186000.0,16,20221231
1,1,1,1,101002,4251,82490000,174000.0,81253924.0,17,20221231
1,1,1,1,101002,4252,15000000,500000.0,12567441.3,18,20221231
1,1,1,1,101002,4261,30871700,-21167400.0,8981100.0,19,20221231
1,1,1,1,101002,4262,4270000,0.0,4202500.0,20,20221231
1,1,1,1,101002,4264,52700000,-9090000.0,35455400.0,21,20221231
1,1,1,1,101002,4267,19720000,13426600.0,33141027.6,22,20221231
1,1,1,1,101002,4269,40000000,-5000000.0,34723109.4,23,20221231
1,1,1,1,101002,4729,347400000,-12000000.0,335399999.6,24,20221231
1,1,1,1,101002,4822,5935000,0.0,5935000.0,25,20221231
1,1,1,1,101002,4861,50000000,0.0,50000000.0,26,20221231
1,1,1,2,105034,4111,708978700,-3500000.0,665494076.0,27,20221231
1,1,1,2,105034,4112,151332500,21323400.0,171999919.0,28,20221231
1,1,1,2,105034,4113,45025100,0.0,45025100.0,29,20221231
1,1,1,2,105034,4212,3694900,-578200.0,2737828.7,30,20221231
1,1,1,2,105034,4214,6408100,-1820400.0,3606106.4,31,20221231
1,1,1,2,105034,4215,400000,-46000.0,354000.0,32,20221231
1,1,1,2,105034,4216,33086700,0.0,33086664.0,33,20221231
1,1,1,2,105034,4221,57029800,-31833600.0,23652931.0,34,20221231
1,1,1,2,105034,4232,4567800,0.0,4544607.8,35,20221231
1,1,1,2,105034,4233,553400,0.0,340000.0,36,20221231
1,1,1,2,105034,4234,680000,-270000.0,255000.0,37,20221231
1,1,1,2,105034,4235,948000,-948000.0,0.0,38,20221231
1,1,1,2,105034,4237,1500000,-250000.0,1200030.0,39,20221231
1,1,1,2,105034,4239,420000,0.0,420000.0,40,20221231
1,1,1,2,105034,4252,2590000,0.0,2572884.0,41,20221231
1,1,1,2,105034,4261,4075000,-535600.0,2887059.5,42,20221231
1,1,1,2,105034,4264,9500000,-643800.0,8854199.2,43,20221231
1,1,1,2,105034,4267,1212100,0.0,941100.0,44,20221231
